αποδοχή,"αποδοχή, η",,,
απόσταση,"απόσταση, η",,,
αποτέλεσμα,"αποτέλεσμα, το",,,
απόφαση,"απόφαση, η",,,
αποφασίζω,αποφασίζω,,,
αποφεύγω,αποφεύγω,,,
απόφοιτος,"απόφοιτος/-η, ο/η",,,
Απρίλιος,"Απρίλιος, ο",,,
Αραβία,"Αραβία, η",,,
αρακάς,"αρακάς, ο",,,
αργά,αργά,,,
αργώ,αργώ,,,
αρέσει,αρέσει,,,
άρθρο,"άρθρο, το",,,
αριθμός,"αριθμός, ο",,,
αριστερά,αριστερά,,,
αριστερός,"αριστερός, -ή, -ό",,,
άριστος,"άριστος, -η, -ο",,,
αρκετός,"αρκετός, -ή, -ό",,,
Αρκτική,"Αρκτική, η",,,
αρκώ,αρκώ,,,
Αρμενία,"Αρμενία, η",,,
αρμενικά,αρμενική γλώσσα (/αρμενικά),,,
αρμενικός,"αρμενικός, -ή, -ό",,,
Αρμένιος,Αρμένιος,,,
αρνούμαι,αρνούμαι,,,
αρρωσταίνω,αρρωσταίνω,,,
αρρώστια,"αρρώστια, η",,,
άρρωστος,"άρρωστος, -η, -ο",,,
αρσενικός,"αρσενικός, -ή, -ό",,,
αρχή,"αρχή, η",,,
αρχίζω,αρχίζω,,,
ασανσέρ,"ασανσέρ, το",,,
ασθενής,"ασθενής, ο/η",,,
Ασία,"Ασία, η",,,
άσκηση,"άσκηση, η",,,
ασπιρίνη,"ασπιρίνη, η",,,
άσπρος,"άσπρος, -η, -ο",,,
αστυνομία,"αστυνομία, η",,,
αστυνομικός,"αστυνομικός, η",,,
άσχημα,άσχημα,,,
άσχημος,"άσχημος, -η, -ο",,,
ασχολία,"ασχολία, η",,,
ατζέντα,"ατζέντα, η",,,
άτομο,"άτομο, το",,,
ατύχημα,"ατύχημα, το",,,
Αύγουστος,"Αύγουστος, ο",,,
αυθόρμητος,"αυθόρμητος, -η, -ο",,,
αυλή,"αυλή, η",,,
αϋπνία,"αϋπνία, η",,,
αύριο,"αύριο, το",,,
Αυστραλία,"Αυστραλία, η",,,
Αυστραλός,"Αυστραλός, -ίδα",,,
αυστραλιανός,"αυστραλιανός, -ή, -ό",,,
Αυστρία,"Αυστρία, η",,,
Αυστριακός́,"Αυστριακός, -ή",,,
αυστριακός,"αυστριακός, -ή, -ό",,,
αυτί,"αυτί, το",,,
αυτοκίνητο,"αυτοκίνητο, το",,,
αυτός,"αυτός, -ή, -ό",,,
αφεντικό,"αφεντικό, το",,,
αφήνω,αφήνω,,,
αφίσα,"αφίσα, η",,,
αφού,αφού,,,
αφρικανικός,"αφρικανικός, -ή, -ό",,,
Αφρικανός́,"Αφρικανός, -ή",,,
Αφρική,"Αφρική, η",,,
Ανδρέας,"Ανδρέας, ο",,,
Απόστολος,"Απόστολος/Αποστόλης, ο",,,
Αργοστόλι,"Αργοστόλι, το",,,
βάζω,βάζω,,,
βάζο,"βάζο, το",,,
βαθιά,βαθιά,,,
βαθμός,"βαθμός, ο",,,
βαθύς,"βαθύς́, -ύ",,,
βαλίτσα,"βαλίτσα, η",,,
βάλτος,"βάλτος, ο",,,
βαπόρι,"βαπόρι, το",,,
βαριά,βαριά,,,
βαρύς,"βαρύς́, -ύ",,,
βάρος,"βάρος, το",,,
βάση,"βάση, η",,,
βασικός,"βασικός, -ή, -ό",,,
Βασίλης,"Βασίλης, ο",,,
Βασιλική,"Βασιλική, η",,,
βασιλόπιτα,"βασιλόπιτα, η",,,
Βάσω,"Βάσω, η",,,
βάφω,βάφω,,,
βγάζω,βγάζω,,,
βγαίνω,βγαίνω,,,
εβδομάδα,εβδομάδα,,,
βέβαια,βέβαια,,,
Βέλγιο,"Βέλγιο, το",,,
βελγικός,"βελγικός, -ή, -ό",,,
Βέλγος,"Βέλγος, -ίδα",,,
Βελιγράδι,"Βελιγράδι, το",,,
βελούδινος,"βελούδινος, -η, -ο",,,
Βενεζουέλα,"Βενεζουέλα, η",,,
βενζινάδικο,"βενζινάδικο, το",,,
βερίκοκο,"βερίκοκο, το",,,
Βερολίνο,"Βερολίνο, το",,,
βήμα,"βήμα, το",,,
βήχας,"βήχας, ο",,,
βήχω,βήχω,,,
βιβλίο,"βιβλίο, το",,,
βιβλιάριο,"βιβλιάριο, το",,,
βιβλιοθήκη,"βιβλιοθήκη, η",,,
Βιέννη,"Βιέννη, η",,,
βιολί,"βιολί, το",,,
βιτρίνα,"βιτρίνα, η",,,
βλέπω,βλέπω,,,
βοηθάω,"βοηθάω, -ώ",,,
βοήθεια,"βοήθεια, η",,,
βοηθητικός,"βοηθητικός, -ή, -ό",,,
βόλεϊ,"βόλεϊ, το",,,
βόλτα,"βόλτα, η",,,
Βουλγαρία,"Βουλγαρία, η",,,
βουλγαρικός,"βουλγαρικός, -ή, -ό",,,
βουλγαρικά,βουλγαρική γλώσσα (/βουλγαρικά),,,
Βούλγαρος,"Βούλγαρος, -α",,,
βουνό,"βουνό, το",,,
βούτυρο,"βούτυρο, το",,,
βραδιά,"βραδιά, η",,,
βραδινό,"βραδινό (φαγητό), το",,,
βράδυ,"βράδυ, το",,,
Βραζιλία,"Βραζιλία, η",,,
βραζιλιανικός,"βραζιλιανικός, -ή, -ό",,,
βραζιλιανικά,βραζιλιανική γλώσσα (/βραζιλιανικά),,,
Βραζιλιάνος,"Βραζιλιάνος, -α",,,
Βρετανία,"Βρετανία, η",,,
βρέχω,βρέχω,,,
βρίσκω,βρίσκω,,,
βροχή,"βροχή, η",,,
Βρυξέλλεςι,"Βρυξέλλες, οι",,,
βρύση,"βρύση, η",,,
γάιδαρος,"γάιδαρος/γαϊδούρι, ο/το",,,
γάλα,"γάλα, το",,,
γαλανός,"γαλανός, -ή, -ό",,,
Γαλλία,"Γαλλία, η",,,
γαλλικός́,"γαλλικός, -ή -ό",,,
γαλλικά,γαλλική γλώσσα (/γαλλικά),,,
Γάλλος,"Γάλλος, -ίδα",,,
γάμος,"γάμος, ο",,,
γάντι,"γάντι, το",,,
γαριδάκι,"γαριδάκι, το",,,
γαρίφαλο,"γαρίφαλο, το",,,
γάτα,"γάτα, η",,,
Γεια!,Γεια!,,,
γείτονας,"γείτονας, ο",,,
γειτονιά,"γειτονιά, η",,,
γελάω,"γελάω, -ώ",,,
γελαστός,"γελαστός, -ή, -ό",,,
γεμίζω,γεμίζω,,,
γενέθλια,"γενέθλια, τα",,,
γενικά,γενικά,,,
γεννάω,"γεννάω, -ώ",,,
γέννηση,"γέννηση, η",,,
Γερμανία,"Γερμανία, η",,,
γερμανικός,"γερμανικός, -ή, -ό",,,
Γερμανός,"Γερμανός, -ίδα",,,
γερός,"γερός, -ή, -ό",,,
γέρος,"γέρος, ο",,,
γεύμα,"γεύμα, το",,,
γήπεδο,"γήπεδο, το",,,
για,για,,,
γιαγιά,"γιαγιά, η",,,
Γιάννης,"Γιάννης, ο",,,
γιαούρτι,"γιαούρτι, το",,,
Γιαπωνέζος,"Γιαπωνέζος, -α",,,
γιασεμί,"γιασεμί, το",,,
γιατί,γιατί,,,
γιατρός,"γιατρός, ο/η",,,
γίνομαι,γίνομαι,,,
γιορτή,"γιορτή, η",,,
γιος,"γιος, ο",,,
Γιώργος,"Γιώργος, ο",,,
γκρι,γκρι,,,
γκρίνια,"γκρίνια, η",,,
γλυκό,"γλυκό, το",,,
γλυκός́́,"γλυκός́, -ό",,,
γλώσσα,"γλώσσα, η",,,
γλώσσα μητρική,γλώσσα μητρική,,,
γνώμη,"γνώμη, η",,,
γνωρίζω,γνωρίζω,,,
γνώση,"γνώση, η",,,
γνωστός,"γνωστός, -ή, -ό",,,
γονείςι,"γονείς, οι",,,
γουρούνι,"γουρούνι, το",,,
γραβάτα,"γραβάτα, η",,,
γράμμα,"γράμμα, το",,,
γραμματέας,"γραμματέας, ο/η",,,
γραμματική,"γραμματική, η",,,
